,NC2,NC3,NC2_fit,NC3_fit
3,0.638733240506,NaN,0.030798715716318318,0.26468691458142035
4,0.42725960761,51.683685755394,0.03235752518331571,0.2725407751337769
5,0.105467285605,22.904536349068998,0.033995230373653706,0.28062767752604983
6,0.072419348486,3.884428613135,0.03571582442138315,0.28895453663771664
7,0.053017752818,1.505057551642,0.037523502564279554,0.29752847252839826
8,0.049584528297000004,0.6387857041760001,0.03942267237288,0.30635681652601915
9,0.047319495246,0.494931113048,0.0414179644972403,0.31544711749561655
10,0.044299713327,0.40029717509900004,0.04351424395761573,0.3248071482941595
11,0.047845106937,0.414528000578,0.04571662200659477,0.33444491241689706
12,0.047384062248,0.380315337025,0.0480304685916088,0.3443686508409188
13,0.051229765811,0.378745479964,0.05046142544820434,0.3545868490717791
14,0.053571041954000004,0.38823597954,0.05301541985600255,0.3651082443992107
15,0.055034963777,0.37771460364500004,0.05569867909088655,0.37594183336813203
16,0.059737452931,0.396009881782,0.0585177456086544,0.3870968794713361
17,0.06295362779699999,0.402152808788,0.06147949299715946,0.39858292107043836
18,0.063022366777,0.410363235207,0.0645911427358333,0.4104097795518583
19,0.063400482393,0.420151752603,0.0678602818034552,0.42258756772480616
20,0.065100432997,0.44033638495800004,0.07129488117710017,0.4351266984684577
21,0.06484482742200001,0.44535434964299997,0.07490331526737083,0.44803789363570995
22,0.068590843898,0.466144425203,0.07869438233730075,0.46133219322113195
23,0.073839192897,0.47643841860099995,0.082677325954716,0.47502096480094885
24,0.073638954356,0.48478924869499995,0.08686185753036076,0.489115913253132
25,0.075800734138,0.498136767553,0.09125817999674087,0.503629090765906
26,0.082087222872,0.5168147310550001,0.09587701268542016,0.5185729071432312
27,0.085311801432,0.524165994896,0.10072961746342639,0.5339601404160731
28,0.08503791469000001,0.544555820643,0.10582782619249428,0.5498039477685311
29,0.086845093689,0.5536087450239999,0.11118406957809784,0.5661178767881725
30,0.092921181068,0.5746529120820001,0.11681140747861318,0.5829158770501868
31,0.094744447205,0.59265983589,0.12272356074851318,0.6002123120452704
32,0.09576131731,0.6042471748880001,0.12893494469323566,0.6180219714614369
33,0.10096487108400001,0.623239670401,0.1354607042172963,0.6363600838302577
34,0.10199084908099999,0.643463038456,0.14231675075134628,0.6552423295483449
35,0.107456334392,0.649977962326,0.1495198010482119,0.6746848542852109
36,0.109344956484,0.678410770149,0.1570874179425108,0.6947042827889687
37,0.113373445154,0.696014681074,0.16503805317322662,0.7153177331016817
38,0.113041870048,0.708798248941,0.17339109237365458,0.7365428311965112
39,0.11804108992000001,0.71860327943,0.1821669023384144,0.7583977260491838
40,0.12002498148799999,0.739078604347,0.19138688068277943,0.7809011051566626
41,0.12043512069299998,0.7571197819629999,0.20107350801540375,0.8040722105162927
42,0.12415813855100001,0.7630033318559999,0.21125040275165785,0.8279308550790841
43,0.125295877307,0.7842163873770001,0.22194237870122058,0.8524974396912004
44,0.132839223917,0.809315227574,0.2331755055703412,0.8777929705381401
45,0.13317907817400002,0.814553552426,0.2449771725262905,0.9038390771065276
46,0.13183957333000001,0.83424455573,0.2573761549789875,0.9306580306788685
47,0.137539929067,0.852276624921,0.2704026847426316,0.9582727633770889
48,0.146429373565,0.885374422521,0.2840885237484118,0.9867068877711374
49,0.14460264097800002,0.880540370163,0.2984670414880234,1.015984717069421
50,0.148744548251,0.907395495474,0.31357329637681813,1.0461312859083354
