snr,Joint,SND,TIN,HK,PA
0.0,0.36996431019063575,0.5456938787771582,0.5168138865361848,0.5455435382167083,0.439271324820414
5.0,1.0838361523463482,1.4750000753207568,1.3660389473354462,1.4768354218901445,1.2678905436592207
10.0,2.4629514186991655,3.0070632729248588,2.7155387845718995,3.0215524180129205,2.8134385423657937
15.0,4.495428132136362,5.022646103695557,4.376848348047715,5.071620377334881,4.9910427753407145
20.0,6.914342524523309,7.330706360801727,6.137327659118201,7.441185588090789,7.4647015236877925
25.0,9.456119862658424,9.789459595261418,7.886045953891586,9.98084201087738,9.982841829939023
