snr,SND,TIN,Joint,SND_gurobi,TIN_gurobi,Joint_gurobi,SND_mosek,TIN_mosek,Joint_mosek,Dinkelbach
-20.0,0.00036630603715929533,0.00036628803471929513,0.0002019913444993263,0.00033491494347112665,0.0003349141012107549,0.00016661329267537585,0.00036979131590521243,0.00036974702848466994,0.00020556324348848778,0.00016994421474361254
-15.0,0.0027244766913442605,0.002722845528785121,0.0014816145310774,0.0026454980958874855,0.0026451626321713903,0.0014063012458236494,0.002728444920184949,0.002726455572926767,0.0014884230088943247,0.0014273750744876836
-10.0,0.01461161971929028,0.014602476306374372,0.007272013429436656,0.014495032996461035,0.01448861488705165,0.007188925116844651,0.014557108893956741,0.01454446971449266,0.007266225210381132,0.0072284586561850795
-5.0,0.049841076872589166,0.04984063417683867,0.023729838738310825,0.04977832142276456,0.04977789949157773,0.02370430920526499,0.04939891553549489,0.04938140107959074,0.023551856680725024,0.02372253284287248
0.0,0.10332909339558871,0.1033118349016422,0.05680693965329224,0.10332676992774172,0.1033097123568992,0.05680330444506725,0.1023470452529646,0.10222916465823195,0.05617680902519441,0.056803937682438715
5.0,0.16494968501206853,0.1648471150840921,0.11241480913283426,0.16494706323639188,0.16484602901528414,0.11240792414065563,0.16404653422078475,0.1631627494120884,0.11107337605781982,0.11241256305399656
10.0,0.21884012604700132,0.21861709922777114,0.17632251302063603,0.2188336489311472,0.21861539856534362,0.1763107994241175,0.21828844266872524,0.21665900337767133,0.17464628588321895,0.17632020131684464
15.0,0.2551737201557286,0.2548625221646493,0.2291370851512906,0.2551664723360631,0.2548602026073522,0.229119780361316,0.25458516618185034,0.2528941411666378,0.226228721842582,0.2291346307949581
20.0,0.27602538383681885,0.27567648762683417,0.2629490926027054,0.2760172747102378,0.27567414525528183,0.26293213226701834,0.2753197565745908,0.2735285632669022,0.25885006082923834,0.26294644572566367
25.0,0.28671717797652535,0.2863557227134412,0.28094571873089186,0.28670985893887496,0.28635311590730195,0.28092849270614845,0.28592616441731833,0.28404449550919714,0.2753570976018644,0.2809437989029177
30.0,0.2916244642166607,0.2912588834418145,0.2893322471027638,0.29161844112118274,0.2912562372344121,0.28931647181541115,0.2908393912460367,0.28631204658655696,0.28290697852375557,0.289330894147703
35.0,0.2936973167171042,0.29333009408822464,0.29283923024040814,0.2936909570054967,0.29332753942247053,0.29282457847500937,0.29283571458171376,0.28056330056831646,0.2683672520133396,0.292837853785332
40.0,0.294470049834811,0.29410230031202417,0.29416785415630975,0.29446339163386925,0.2940996532282046,0.29415137526047214,0.2936851863790712,0.2885751049178171,0.2852146138596038,0.2941665583852397
45.0,0.29473188756281027,0.29436396108432183,0.2946311917532722,0.2947258781331891,0.2943617045947274,0.29461596593876027,0.2939175912358354,0.2860657477575822,0.28307432600061305,0.29462990313616866
50.0,0.2948165787438739,0.29444861952293894,0.2947840337514964,0.29481057915722925,0.2944459394941411,0.29476830550300953,0.2939370721481635,0.2726504971774825,0.26999081643851586,0.29478271591677513
