snr,SND_mean,SND_median,TIN_mean,TIN_median,Joint_mean,Joint_median,SND_gurobi_mean,SND_gurobi_median,TIN_gurobi_mean,TIN_gurobi_median,Joint_gurobi_mean,Joint_gurobi_median,SND_mosek_mean,SND_mosek_median,TIN_mosek_mean,TIN_mosek_median,Joint_mosek_mean,Joint_mosek_median,Dinkelbach_mean,Dinkelbach_median
-20.0,209.6732204262199,104.75777863050001,54.63830939330392,31.060191397,16.709704461232995,5.746787976,0.5179606372049996,0.21452767799999997,0.17130159047100016,0.052041661,0.025210971124000007,0.0077837719999999996,2.9510321068569967,1.0888744225,0.9157843804199994,0.32582696850000004,0.15458287685000008,0.0414083555,0.055251737116999974,0.032859798999999995
-15.0,1422.1147776670152,931.4524641665,256.98768209670186,227.99379171150002,189.07557328678365,97.5695047505,6.409248651787,3.0880975444999996,1.8926547186870004,1.2006720225,0.45199991309299964,0.1689083405,37.539728528544025,16.741069618,10.532954980110006,5.992707383,2.8136009958530015,0.9741181365,1.2798246566,0.336397779
-10.0,3774.5944163229087,2458.8608307490003,340.1485826264068,296.314292295,697.8767561061475,343.695891211,31.524233910006,22.2421454805,6.702570556965998,5.5481400789999995,3.642018621961999,1.7897658230000002,165.17601864995217,114.713555717,32.95632787852302,28.3831305765,20.090647280266968,9.121522585,21.20069998599301,12.188005150999999
-5.0,4523.694457380649,1901.139001518,189.50273923786244,63.527272671999995,928.7105779283942,365.410968659,49.82439273088298,42.14804377750001,6.993086195703005,4.5495965675,7.803491065631001,5.531362313000001,226.5497495233366,194.1725821545,31.234498976460994,20.872234996499998,36.28854286605601,23.0398412305,155.6561830962029,92.94724414000001
0.0,2038.8767510046068,637.5737342115001,70.80814895073311,17.910576619,419.3788023444264,95.552742128,33.514052373407964,24.381534946499997,4.100387568816001,2.3877153294999998,5.143821774736001,3.2780825289999997,97.28676598980701,81.7566274165,13.694879340513985,8.469767036499999,15.045268782085016,10.275594437999999,377.1501422500914,162.8110426545
5.0,390.4292022583647,85.235379892,24.459411644616974,5.741798786,61.07459104500807,8.095193420000001,12.202699323414006,8.259845437,1.9413750083130035,1.1270184699999999,1.4147755060890008,0.77917646,18.70982427099799,12.1297574275,3.787549635063998,2.135876983,2.4905654294509993,1.0354484905,372.5029517338228,96.91955118000001
10.0,91.57105521723099,17.9645712905,12.573876665845994,2.280074668,10.012307804580995,1.1621616655,5.368289554099001,2.8452879075,1.1528093324050004,0.612275045,0.44629861761500017,0.21347799550000002,6.355119826766002,2.664863871,1.5132297269269985,0.721999616,0.7962023922219998,0.091091703,285.7958751826674,51.6861931145
15.0,35.89732485794205,7.379653574000001,6.854629268680002,1.4036659835,3.3817215509719993,0.4481489355,3.2941055835209974,1.661290379,0.8102232172720001,0.41428555899999997,0.22986504134300004,0.1036991155,3.0575697834279976,1.3517223175,0.8849326056900003,0.3814363465,0.3096572810580001,0.0311705185,143.77186103452507,32.3056378715
20.0,24.557711606734994,4.476170346,5.0160236854389995,1.0349730369999999,2.2971944721020017,0.274068106,2.6736985824510024,1.229209263,0.6831501961990006,0.3366069975,0.17706297555200007,0.0761508595,1.913954856004003,0.9731240045,0.6908927243199996,0.277533108,0.13684805883399992,0.0218641235,145.41810853862992,23.027031954
25.0,21.659396354664008,3.6960579420000004,4.429757679906993,0.9101903245,2.0948904595529965,0.22400853199999998,2.490555262677997,1.1023747634999999,0.641348614518999,0.30447814900000003,0.16230434594500015,0.0661930595,1.4950880842199985,0.833456014,0.6152508130769996,0.24769913999999998,0.06734500150899997,0.0197860495,66.88688551130895,18.1414343065
30.0,21.000206959012967,3.2630654430000003,4.280842953814003,0.821313604,2.027470994383,0.200832073,2.387790615774999,1.016048637,0.6165791193800011,0.28512547850000003,0.1567367657690001,0.061059345,1.329355715392001,0.7865875935,0.5691251903449999,0.23323656850000002,0.04444097600400001,0.019154079499999997,48.90309011887097,16.8200435285
35.0,20.423096347187997,3.2381368770000005,4.202847325138003,0.833539738,2.0066984066640003,0.19687920599999997,2.331892543123998,0.9857720235,0.6009348684899997,0.27545605799999995,0.15514358078100005,0.059527499,1.243695807528999,0.7495449205,0.556431105118,0.2292688135,0.03533432578,0.019259208,41.19261846749894,16.3517177875
40.0,20.74070025112695,3.1235178890000004,4.257380655337,0.804890339,2.008497431630002,0.190620989,2.3606334295049995,0.997184522,0.6100039497029995,0.280050146,0.15500927942599996,0.060035333999999996,1.2314349085210006,0.7301347599999999,0.5681516706719993,0.2279442765,0.032255483592,0.019047445000000003,36.96901088929299,16.922852108
45.0,20.230468034245998,3.063319068,4.132621971181997,0.7986104030000001,2.000197153506,0.190674955,2.37697910027,1.0048281234999998,0.6122396636899996,0.28325544550000004,0.15624131254699988,0.0612764755,1.185514273378001,0.7261659475,0.5421803263830007,0.2273442505,0.03194674213399996,0.020789371,36.766252779064,17.322855566500003
50.0,20.772887063905998,3.0535013665,4.249206522487005,0.8003317475,2.013479347672,0.19038223850000002,2.3658135932919997,0.9938935705,0.6106834897239998,0.27968415300000005,0.15608246543600002,0.061272901500000004,1.1335147061179995,0.7132954325,0.4921419316519995,0.22171293050000002,0.03338383924499998,0.023340985,38.318484379927966,18.216320023999998
